"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000108424",6668.2656318673,0.925509856287249,0.065911385887642,14.0417295710479,8.65736645314717E-45,5.574519484736E-43
"ENSG00000164163",1199.26059363358,1.39491175608181,0.112199168220439,12.4324607588999,1.74188439127316E-35,7.05202417329213E-34
"ENSG00000066583",145.568764542748,1.33116679864668,0.139011948096729,9.57591643648078,1.00957926352097E-21,1.98423412810037E-20
"ENSG00000147119",200.999376239672,1.72155764418565,0.211382905640719,8.14426142439224,3.8160395967378E-16,5.02928727359538E-15
"ENSG00000174684",101.38925977005,-1.59221659053808,0.21207958491955,-7.5076372444904,6.02040542933622E-14,6.61853026142149E-13
"ENSG00000122299",1056.22785564737,0.56660580285376,0.075706343674292,7.48425792812615,7.19525233286319E-14,7.87169919457735E-13
"ENSG00000171928",154.725464126824,0.932155442884503,0.129122435851969,7.21915937175443,5.23099217968149E-13,5.34240757202819E-12
"ENSG00000182568",322.662519897607,-1.20117053760885,0.172377323706377,-6.968263062576,3.20877819996301E-12,3.0405815571058E-11
"ENSG00000214900",22.3554505111339,2.57329307955712,0.386564134184048,6.65683350316185,2.7978982793642E-11,2.41129257702758E-10
"ENSG00000079950",2497.02280701809,-0.747607905312588,0.113473715512569,-6.58837953737208,4.44652803057593E-11,3.75318052618276E-10
"ENSG00000146872",454.13807045981,0.564992705460574,0.088879794355798,6.35681832474579,2.05975354569837E-10,1.62781925452562E-09
"ENSG00000101782",1317.46629817637,0.51976355658827,0.082572239107691,6.29465256368301,3.0808913254084E-10,2.38738180528208E-09
"ENSG00000179362",12.0612764100299,4.11087495002578,0.817284830897682,5.02991710431051,4.90691936745141E-07,2.54414738062415E-06
"ENSG00000145703",7883.86982399686,-0.48748133017915,0.104645153564942,-4.65842242638233,3.18641835489316E-06,1.46404175993426E-05
"ENSG00000233038",34.9037543272663,-2.17531979420795,0.468004437789,-4.64807514322908,3.3504686729535E-06,1.53212842055046E-05
"ENSG00000062716",1415.43435443577,0.441066150223112,0.09669463815306,4.56143338087618,5.08055960623102E-06,2.26356925849937E-05
"ENSG00000117481",177.036171331685,0.607923750858215,0.133526934972151,4.55281738463485,5.29322180259195E-06,2.34980122175471E-05
"ENSG00000141098",86.9690419236952,0.840412690124179,0.193036560242928,4.35364518030449,1.33892353879502E-05,5.61599311616099E-05
"ENSG00000196372",135.878013332606,-1.03568517159882,0.238822443642495,-4.33663250322146,1.44682222850837E-05,6.03266425343516E-05
"ENSG00000185104",276.496834548913,-0.596922917042008,0.141048436804087,-4.23204205992811,2.31579087631776E-05,9.33913636432112E-05
"ENSG00000163807",346.090285319592,-0.431995468745818,0.103775211719152,-4.16280016768294,3.14368474382685E-05,0.000123968810458
"ENSG00000128342",26.8917914049898,1.08938788891398,0.267421733654947,4.07366998196044,4.62780465185977E-05,0.000176572162817
"ENSG00000100138",275.920737049295,-0.460305527589253,0.113176290192783,-4.06715511530883,4.75905666356983E-05,0.000181120079383
"ENSG00000147324",430.015551464024,-0.803362792557203,0.206725213322526,-3.8861384136236,0.000101851447968,0.000364155282767
"ENSG00000260563",19.1906919462864,-1.35248539400936,0.354679203362656,-3.81326387672768,0.000137143549124,0.000478569050648
"ENSG00000169758",37.9360338803904,-1.13185829472667,0.305089428206618,-3.70992302611068,0.000207322271813,0.000701905798561
"ENSG00000165792",299.792044156382,-0.512764825610755,0.13913442355836,-3.68539152638725,0.000228351325467,0.000767146987073
"ENSG00000231113",21.8779991854046,-1.33051153498485,0.36103763239687,-3.68524335303164,0.000228484221157,0.000767402791476
"ENSG00000115295",458.863029332802,-0.635278586189122,0.176353265943503,-3.6023068968433,0.000315405684208,0.001032667230474
"ENSG00000162994",66.2778262151182,-0.928667887766261,0.258068999876968,-3.59852554242856,0.000320026424056,0.001046929559714
"ENSG00000280187",18.8159676349732,-1.33922938737882,0.373666104895982,-3.58402694231959,0.000338337162792,0.001101081856865
"ENSG00000165898",141.279227850464,-0.532332137028957,0.151669993846227,-3.50980522600053,0.000448435049093,0.001419785442334
"ENSG00000100324",123.073581636019,-0.490934366710762,0.141786903572977,-3.46248034437173,0.000535221006181,0.00167026504629
"ENSG00000143156",50.037124138986,-0.906477824836784,0.264219433552151,-3.43077650515765,0.000601856243403,0.001860743145933
"ENSG00000139644",15198.8278555043,0.222494400754408,0.072420864876347,3.07224169628876,0.002124576214212,0.005773416312012
"ENSG00000124613",15.7774133641407,-1.5229257955369,0.530502896095689,-2.87072098332561,0.00409536832839,0.010423032286182
"ENSG00000074356",674.446115096964,0.284427478560207,0.100391339198089,2.83318741270084,0.004608635735457,0.011572511126249
"ENSG00000128739",79.3051399130914,-0.501734189523186,0.196604446919135,-2.55199817392509,0.01071070801275,0.024267793858646
"ENSG00000280670",12.957223840842,-1.10750478849439,0.434596466771229,-2.5483520303845,0.010823319135715,0.024486016622577
"ENSG00000256546",9.72329367954628,-1.28036701846912,0.507050552485175,-2.52512695665894,0.011565649889352,0.025956965610592
"ENSG00000187792",42.089162495947,-0.613618695573925,0.251832605957311,-2.43661337355951,0.014825521198014,0.032323556536527
"ENSG00000160051",9.32206513923394,-1.39015903370991,0.571861870662179,-2.43093499501933,0.015059916232689,0.032713283100148
"ENSG00000023697",380.260850215499,-0.269845260878847,0.11767400159981,-2.29315955274934,0.021838820833779,0.045368648842273
"ENSG00000214274",13.3199368008715,-0.999518345309065,0.446013355989227,-2.24100541359844,0.025025724343133,0.051187088877302
